user,session,time,x,y,rotation
18,3420,1365214688431,1619,622,1
18,3420,1365214689125,1631,685,1
18,3420,1365214692903,1580,666,-1
18,3420,1365214692918,1580,666,-1
18,3420,1365214692933,1580,666,-1
18,3420,1365214692956,1580,666,-1
18,3420,1365214692972,1580,666,-1
18,3420,1365214692994,1580,666,-1
18,3420,1365214693250,1580,666,-1
18,3420,1365214693264,1580,666,-1
18,3420,1365214693281,1580,666,-1
18,3420,1365214693297,1580,666,-1
18,3420,1365214693313,1580,666,-1
18,3420,1365214693327,1580,666,-1
18,3420,1365214693351,1580,666,-1
18,3420,1365214693583,1580,667,-1
18,3420,1365214693599,1580,667,-1
18,3420,1365214693613,1580,667,-1
18,3420,1365214693629,1580,667,-1
18,3420,1365214693645,1580,667,-1
18,3420,1365214693667,1580,667,-1
18,3420,1365214693715,1580,667,-1
18,3420,1365214693891,1580,667,-1
18,3420,1365214693907,1580,667,-1
18,3420,1365214693923,1580,667,-1
18,3420,1365214693937,1580,667,-1
18,3420,1365214693953,1580,667,-1
18,3420,1365214693969,1580,667,-1
18,3420,1365214693999,1580,667,-1
18,3420,1365214694215,1580,667,-1
18,3420,1365214694231,1580,667,-1
18,3420,1365214694247,1580,667,-1
18,3420,1365214694263,1580,667,-1
18,3420,1365214694277,1580,667,-1
18,3420,1365214694293,1580,667,-1
18,3420,1365214694331,1580,667,-1
18,3420,1365214694533,1580,667,-1
18,3420,1365214694549,1580,667,-1
18,3420,1365214694563,1580,667,-1
18,3420,1365214694579,1580,667,-1
18,3420,1365214694594,1580,667,-1
18,3420,1365214694616,1580,667,-1
18,3420,1365214694856,1580,667,-1
18,3420,1365214694872,1580,667,-1
18,3420,1365214694894,1580,667,-1
18,3420,1365214694910,1580,667,-1
18,3420,1365214694934,1580,667,-1
18,3420,1365214694964,1580,667,-1
18,3420,1365214695367,1580,667,1
18,3420,1365214695391,1580,667,1
18,3420,1365214695413,1580,667,1
18,3420,1365214695437,1581,669,1
18,3420,1365214695753,1583,672,1
18,3420,1365214695785,1584,675,1
18,3420,1365214695823,1584,675,1
18,3420,1365214700975,1750,359,1
18,3420,1365214700999,1745,364,1
18,3420,1365214701021,1739,370,1
18,3420,1365214701037,1737,371,1
18,3420,1365214701053,1733,374,1
18,3420,1365214701069,1728,375,1
18,3420,1365214701091,1722,378,1
18,3420,1365214701347,1724,351,1
18,3420,1365214701369,1724,351,1
18,3420,1365214701377,1724,352,1
18,3420,1365214701393,1725,357,1
18,3420,1365214701401,1725,358,1
18,3420,1365214701407,1725,360,1
18,3420,1365214701423,1725,362,1
18,3420,1365214701431,1725,362,1
18,3420,1365214701447,1725,364,1
18,3420,1365214701692,1727,353,1
18,3420,1365214701716,1728,355,1
18,3420,1365214701724,1728,355,1
18,3420,1365214701740,1729,356,1
18,3420,1365214701746,1730,356,1
